SN,YEAR,QTR,MONTH,PROJECT_CODE,PROJECT_NAME,ACCOUNT_NAME,PRACTICE_AREA,BU,BU_ TYPE,REGION_COUNTRY,ENTITY_INDIA_US,TOTAL_RESOURCES,TOTAL_REVENUE,TOTAL_DIRECT_COST,NET_MARGIN,EBIDTA
24,2022-23,Q1,4/1/2022,SS400242,Software Services - NDML -RTA -Application Development,TETW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.15,0.00,0.21,-0.21,-0.22
25,2022-23,Q1,4/1/2022,SS400268,Software Services -Development -Coco Navi,EIXB,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,5.43,8.20,4.91,3.29,3.05
26,2022-23,Q1,4/1/2022,SS400276,Software Services -Magma -T&M,VVEE,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,0.23,0.00,0.67,-0.67,-0.68
27,2022-23,Q1,4/1/2022,SS400285,Software Service -IIBF CLMS,TEFN,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,5.00,6.22,4.04,2.18,1.95
28,2022-23,Q1,4/1/2022,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,2.00,2.91,1.69,1.22,1.13
29,2022-23,Q1,4/1/2022,SS400290,NSE- Solace -Enhanced Support,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,4.00,28.74,3.43,25.31,25.13
30,2022-23,Q1,4/1/2022,SS400294,Software Service -NSE-IFSC-Website Dev & Mtns,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,4.00,5.41,3.43,1.98,1.80
31,2022-23,Q1,4/1/2022,SS400304,Software Services -Karnataka Bank -DCoE,UEKK,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.50,3.87,1.32,2.54,2.52
32,2022-23,Q1,4/1/2022,SS400306,Software Service -NSE-Website,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,20.84,7.85,22.13,-14.28,-15.22
33,2022-23,Q1,4/1/2022,SS400307,Software Service HDFC Mutual fund,GYVI,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.00,0.00,1.77,-1.77,-1.81
34,2022-23,Q1,4/1/2022,SS300275,Software Service - Aujas - Palm Products,QZRU,App Modernisation,Digital,Project,US (to NSEIT Inc),NSEIT-IND-SA,0.00,0.00,0.75,-0.75,-0.75
35,2022-23,Q1,4/1/2022,PA399999,Practice Bench - App Modernisation,EZOF,App Modernisation,Digital,Bench,IND,NSEIT-IND-SA,9.70,0.00,0.00,-3.78,-4.00
36,2022-23,Q1,4/1/2022,PA699999,Practice Development  - App Modernisation,RHCC,App Modernisation,Digital,Practice,IND,NSEIT-IND-SA,3.20,0.00,0.00,-20.27,-20.35
37,2022-23,Q1,4/1/2022,PB399999,Practice Bench -Business Transformation,EZOF,Business Transformation,Digital,Bench,IND,NSEIT-IND-SA,10.86,0.00,0.00,-6.78,-7.03
38,2022-23,Q1,4/1/2022,PB699999,Practice Development - Business Transformation,RHCC,Business Transformation,Digital,Practice,IND,NSEIT-IND-SA,2.00,0.00,0.00,-9.90,-9.94
39,2022-23,Q1,4/1/2022,RP300009,RPA - Automation (24 Process ) - NSE,PMB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,2.00,0.00,1.32,-1.32,-1.41
40,2022-23,Q1,4/1/2022,RP300013,RPA - Automation -SBI Life,LIB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,9.50,0.00,8.50,-8.50,-8.93
41,2022-23,Q1,4/1/2022,RP400001,RPA - NSE - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,2.00,2.27,0.61,1.66,1.57
42,2022-23,Q1,4/1/2022,RP400005,RPA - TATA Aia -T&M,LFIY,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,2.00,2.52,1.73,0.79,0.70
43,2022-23,Q1,4/1/2022,RP400007,RPA - Kalpataru Group - Robotic Automation  T&M,ZFRE,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,0.03,1.19,0.01,1.17,1.17
44,2022-23,Q1,4/1/2022,RP400010,RPA -IDFC First Bank,XSZC,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,29.52,26.95,21.60,5.35,4.02
45,2022-23,Q1,4/1/2022,RP400011,RPA - SBI Life -T&M,LIB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,6.27,2.21,2.01,0.20,-0.08
46,2022-23,Q1,4/1/2022,SP200002,Software Products - Back Office - Ensettle - Maintenance,CQVA,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.25,0.82,0.57,0.25,0.24
47,2022-23,Q1,4/1/2022,SP200030,Software Products - Messaging Solutions - Maintenance,CQVA,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,2.15,2.28,1.58,0.70,0.60
48,2022-23,Q1,4/1/2022,SS300250,Software Services - Bank of Baroda,XIAF,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.15,0.00,0.34,-0.34,-0.35
49,2022-23,Q1,4/1/2022,SS300252,Software Services - KRA Dashboard - CPMS,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.00,1.23,0.00,1.23,1.18
50,2022-23,Q1,4/1/2022,SS300255,Software Service - Federal Bank Collection Management,KPQR,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.20,1.09,1.41,-0.33,-0.34
51,2022-23,Q1,4/1/2022,SS300262,Software Service - NSE- Document Management System,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.55,-0.55,-0.55
52,2022-23,Q1,4/1/2022,SS300263,Software Service - Equitas Collection Management Solutions,EHZE,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.25,1.94,2.28,-0.34,-0.35
53,2022-23,Q1,4/1/2022,SS300283,Software Services - NSE - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.10,1.00,0.27,0.73,0.73
54,2022-23,Q1,4/1/2022,SS300287,Software Service Development -RBI- Spectra,FZWX,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,19.55,0.00,20.48,-20.48,-21.36
55,2022-23,Q1,4/1/2022,SS300301,Software Service -NSE Vendor Management System,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.42,0.00,0.42,0.42
56,2022-23,Q1,4/1/2022,SS300305,Software Service -NSE-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.55,-0.55,-0.55
57,2022-23,Q1,4/1/2022,SS300308,Software Service-NSE-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,3.40,2.33,2.09,0.24,0.09
58,2022-23,Q1,4/1/2022,SS300332,Software Service-NSE-Volume Gen. Onsite Support,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,3.31,0.00,3.31,3.31
59,2022-23,Q1,4/1/2022,SS400252,Software Service - Bank of Baroda - T&M,XIAF,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,2.10,1.17,1.23,-0.06,-0.16
60,2022-23,Q1,4/1/2022,AN300008,Analytics -Development - Wissen ( Bandhan Bank ),PGVO,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,0.20,0.00,0.10,-0.10,-0.11
61,2022-23,Q1,4/1/2022,AN300009,Analytics-Elastic Internal Aujas SOC,QZRU,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,0.00,1.25,0.00,1.25,1.25
62,2022-23,Q1,4/1/2022,AN300010,Analytics-Kotak Life Insurance,YFSE,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.00,0.00,0.39,-0.39,-0.43
63,2022-23,Q1,4/1/2022,AN400001,Analytics -Axis Bank T&M,OEBN,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.05,1.64,1.59,0.05,0.00
64,2022-23,Q1,4/1/2022,AN400004,Analytics  -Kotak Life Insurance T&M,YFSE,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,0.00,1.70,0.00,1.70,1.70
65,2022-23,Q1,4/1/2022,AN400007,Elasticsearch - CCIL (Analytics),RYMC,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.90,0.00,1.72,-1.72,-1.81
66,2022-23,Q1,4/1/2022,PD399999,Practice Bench – Data & Analytics ,EZOF,Data & Analytics,Digital,Bench,IND,NSEIT-IND-SA,6.67,0.00,0.00,-5.81,-5.97
67,2022-23,Q1,4/1/2022,PD499999,Practice Bench –  NSE-Data & Analytics ,PMB,Data & Analytics,Digital,Bench,IND,NSEIT-IND-SA,4.47,0.00,0.00,-8.58,-8.68
68,2022-23,Q1,4/1/2022,PD699999,Practice Development -Data & Analytics,RHCC,Data & Analytics,Digital,Practice,IND,NSEIT-IND-SA,4.30,0.00,0.00,-35.60,-35.70
69,2022-23,Q1,4/1/2022,SP100152,Software Products- NSE-Client Profiling,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,0.00,57.00,45.00,12.00,12.00
70,2022-23,Q1,4/1/2022,SS300272,Software Service - NSE - Machine Learning,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.25,-0.25,-0.25
71,2022-23,Q1,4/1/2022,SS300293,Software Service - CCIL Nasdaq Market Surveillance System,RYMC,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,0.85,13.33,9.67,3.67,3.63
72,2022-23,Q1,4/1/2022,SS300296,Software Service - NESL -Business Reporting,DKFU,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,6.50,4.83,6.21,-1.38,-1.67
73,2022-23,Q1,4/1/2022,SS300300,Software Service - SBI General Ins.Co.,LAFS,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,10.10,0.00,10.03,-10.03,-10.48
74,2022-23,Q1,4/1/2022,SS300303,Software Service -NSE -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,13.22,11.73,23.65,-11.92,-12.52
75,2022-23,Q1,4/1/2022,SS300333,Software Service-Hewlett Packard Enterprise,YRUE,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,3.00,0.00,2.30,-2.30,-2.43
76,2022-23,Q1,4/1/2022,SS300335,Software Service-NSE-Shareholder Repository Platform,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,7.75,0.00,6.99,-6.99,-7.34
77,2022-23,Q1,4/1/2022,SS400305,Software Service -NSE-SnowFlake Migration,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,7.00,0.00,10.13,-10.13,-10.44
78,2022-23,Q1,4/1/2022,SS400300,Software Services-Adi WorldLink -AWS-Financial Project,LGDI,Data & Analytics,Digital,Project,US (to NSEIT Inc),NSEIT-IND-SA,7.90,12.21,8.98,3.23,2.87
79,2022-23,Q1,4/1/2022,DG499999,Software Common Bench,EZOF,Digi Bench,Digital,Bench,IND,NSEIT-IND-SA,288.38,0.00,0.00,-104.37,-111.02
80,2022-23,Q1,4/1/2022,CC400037,Customer Care Services - NOW Support,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,1.00,0.85,0.70,0.16,0.11
81,2022-23,Q1,4/1/2022,CC400040,Customer Care Services - NOW -NSE-NCFM,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,1.00,0.39,0.25,0.14,0.10
82,2022-23,Q1,4/1/2022,CC400041,Customer Care Services - NOW -NSE-MSM,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,27.97,13.06,9.68,3.39,2.13
83,2022-23,Q1,4/1/2022,CC400042,Customer Care Services - NOW -NSCCL,ZCKY,IMS,Digital,Project,IND,NSEIT-IND-SA,8.00,6.39,4.16,2.23,1.87
84,2022-23,Q1,4/1/2022,CC400044,Customer Care Services - Regulatory Function  -NSE,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,29.00,15.13,7.59,7.54,6.24
85,2022-23,Q1,4/1/2022,CC400048,Customer Care Services - NSE IFSC-Helpdesk Support,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,6.00,4.77,2.41,2.36,2.09
86,2022-23,Q1,4/1/2022,IM300052,IMS - NSE - Stratus MMC Services,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,45.17,45.39,-0.22,-0.22
87,2022-23,Q1,4/1/2022,IM300091,IMS- NSE- Co-Location Project,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,39.00,120.00,17.97,102.03,100.27
88,2022-23,Q1,4/1/2022,IM300158,IMS - NSE - Stratus T&M,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,10.00,10.46,12.93,-2.48,-2.93
89,2022-23,Q1,4/1/2022,IM300161,IMS - NSCCL - Stratus MMC Services,ZCKY,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,1.52,1.49,0.03,0.03
90,2022-23,Q1,4/1/2022,IM300163,IMS-IRDA-IGMS - Infra & Hosting /DC/DR Services,ATWW,IMS,Digital,Project,IND,NSEIT-IND-SA,1.00,1.82,0.43,1.39,1.35
91,2022-23,Q1,4/1/2022,IM300164,IMS -IRDA -IGMS -AMC / Helpdesk Support ,ATWW,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,1.25,0.88,0.37,0.37
92,2022-23,Q1,4/1/2022,IM300165,IMS - Aujas - Business Support Service,QZRU,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,8.01,0.00,8.01,8.01
93,2022-23,Q1,4/1/2022,IM300166,IMS-NAFED-T&M,LTUH,IMS,Digital,Project,IND,NSEIT-IND-SA,1.00,0.00,0.43,-0.43,-0.47
94,2022-23,Q1,4/1/2022,IM300168,IMS-Indian Bank -Infra & OS licenses,NIML,IMS,Digital,Project,IND,NSEIT-IND-SA,7.10,0.00,5.32,-5.32,-5.64
95,2022-23,Q1,4/1/2022,IM300169,IMS-NSE-VMS-AWC Cloud Hosting,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,0.44,0.00,0.44,0.44
96,2022-23,Q1,4/1/2022,IM300170,IMS-SIDBI,RXBM,IMS,Digital,Project,IND,NSEIT-IND-SA,1.00,0.00,0.67,-0.67,-0.72
97,2022-23,Q1,4/1/2022,IM300171,IMS-HSVPHSIIDCSTP,ZJMY,IMS,Digital,Project,IND,NSEIT-IND-SA,3.25,0.00,0.88,-0.88,-1.03
98,2022-23,Q1,4/1/2022,IM400057,IMS - Tea Board - T&M Infrastructure Services,ZWAD,IMS,Digital,Project,IND,NSEIT-IND-SA,10.12,4.74,5.79,-1.05,-1.50
99,2022-23,Q1,4/1/2022,IM400212,IMS-NSE-BCP,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,88.07,112.62,48.93,63.69,59.73
100,2022-23,Q1,4/1/2022,IM400215,IMS-NAFED -T&M,LTUH,IMS,Digital,Project,IND,NSEIT-IND-SA,5.00,0.00,1.82,-1.82,-2.04
101,2022-23,Q1,4/1/2022,IM400216,IMS-NSE-Incident Manager,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,2.00,3.11,1.84,1.27,1.18
102,2022-23,Q1,4/1/2022,IM400217,IMS-Magma Fincorp,YOLZ,IMS,Digital,Project,IND,NSEIT-IND-SA,0.77,0.00,2.23,-2.23,-2.27
103,2022-23,Q1,4/1/2022,IM400218,IMS-NSE-Project Management (PMO),PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,2.00,2.67,1.65,1.02,0.93
104,2022-23,Q1,4/1/2022,IS300013,ISRC- IDBI Bank,CUQO,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.34,-0.34,-0.34
105,2022-23,Q1,4/1/2022,IS300021,ISRC- Bank of India,AMUE,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,1.41,-1.41,-1.41
106,2022-23,Q1,4/1/2022,IS300022,ISRC- Bhagni Nivedita SBL,TGXQ,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,1.05,-1.05,-1.05
107,2022-23,Q1,4/1/2022,IS400003,ISRC - NSE,PMB,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,24.55,14.38,10.17,10.17
108,2022-23,Q1,4/1/2022,IS400010,ISRC -Aujus GRC,CIVN,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,0.50,0.00,0.50,0.50
109,2022-23,Q1,4/1/2022,PI699999,Practice Development – IMS,RHCC,IMS,Digital,Practice,IND,NSEIT-IND-SA,16.00,0.00,0.00,-44.27,-44.64
110,2022-23,Q1,4/1/2022,SS300256,Software Service - NSE-Enterprise Applications support,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,25.70,19.51,19.18,0.33,-0.83
111,2022-23,Q1,4/1/2022,SS300266,Software Service - NSE - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,12.00,9.84,8.21,1.63,1.09
112,2022-23,Q1,4/1/2022,SS300289,Software Service -IRDA -IGMS -Portal License,ATWW,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.33,-0.33,-0.33
113,2022-23,Q1,4/1/2022,SS400224,Software Services - NSE Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,58.13,33.89,54.85,-20.96,-23.58
114,2022-23,Q1,4/1/2022,SS400229,Software Services - NSE IFSC Clearing Gift City Sup Service,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,1.73,4.80,0.94,3.86,3.78
115,2022-23,Q1,4/1/2022,SS400250,Software Services - NSE -Trading Test Environment Management,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,18.00,18.38,11.40,6.98,6.17
116,2022-23,Q1,4/1/2022,SS400283,Software Service - NSE-PSM & Epsilon,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,32.43,37.66,30.88,6.78,5.32
117,2022-23,Q1,4/1/2022,SS400298,Software Services -NSE -GIFT City- SGX DTX,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,11.00,7.80,8.25,-0.45,-0.94
118,2022-23,Q1,4/1/2022,SS400275,Software Services -Development -NeSL Production Support,DKFU,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.13,4.89,3.11,1.79,1.65
119,2022-23,Q1,4/1/2022,CC400038,Customer Care Services - Thomson Reuters,JAKU,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,8.00,3.31,4.29,-0.98,-1.34
120,2022-23,Q1,4/1/2022,CC400049,Customer Care Services -BOA,ZFPS,IMS,Digital,Project,IND,NSEIT-IND-SA,3.87,1.79,1.78,0.01,-0.16
121,2022-23,Q1,4/1/2022,PN399999,Practice Bench – PSG Non NSE,PMB,PSG-Non NSE,Digital,Bench,IND,NSEIT-IND-SA,2.98,0.00,0.00,-2.59,-2.66
122,2022-23,Q1,4/1/2022,PN499999,Practice Bench-PSG -NSE,PMB,PSG-NSE,Digital,Bench,IND,NSEIT-IND-SA,0.15,0.00,0.00,-0.85,-0.86
123,2022-23,Q1,4/1/2022,PN699999,Practice Development – PSG Non NSE ,QRWT,PSG-Non NSE,Digital,Practice,IND,NSEIT-IND-SA,0.50,0.00,0.00,-2.84,-2.86
124,2022-23,Q1,4/1/2022,SS400123,Software Services-Citi Bank-T&M-Development,PWPW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,4.00,4.48,3.06,1.42,1.24
125,2022-23,Q1,4/1/2022,SS400204,Software Services - Development - HDFC Ergo,DPBP,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,4.17,3.60,1.82,1.78,1.59
126,2022-23,Q1,4/1/2022,SS400212,Software Services - T&M - NSPOT- Development,JAJN,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.00,0.57,0.03,0.54,0.54
127,2022-23,Q1,4/1/2022,SS400220,Software Services - Development - TATA AIA LIC,LFIY,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.00,-4.16,0.00,-4.16,-4.16
128,2022-23,Q1,4/1/2022,SS400231,Software Services- NSDL-Inspection Automation-Development,TETW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,2.00,1.62,0.94,0.68,0.59
129,2022-23,Q1,4/1/2022,SS400234,Software Services - Reliance Gen- Development,OUMN,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,20.32,21.15,15.36,5.79,4.87
130,2022-23,Q1,4/1/2022,SS400235,Software Services - Yes Bank - DotNet Development,GQLE,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,0.85,0.50,0.35,0.31
131,2022-23,Q1,4/1/2022,SS400237,Software Services - NDML-Application Development,TETW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,5.20,4.23,3.14,1.09,0.85
132,2022-23,Q1,4/1/2022,SS400243,Software Services - BOA - T&M,ZFPS,PSG-Non NSE,Digital,Project,Singapore,NSEIT-IND-SA,1.00,2.17,1.07,1.10,1.05
133,2022-23,Q1,4/1/2022,SS400245,Software Services - Piramal Finance T&M,YJXO,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.00,3.00,1.97,1.03,0.89
134,2022-23,Q1,4/1/2022,SS400251,Software Services - Fulletron,AIXP,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.53,4.38,2.46,1.92,1.76
135,2022-23,Q1,4/1/2022,SS400256,Software Services - nuFuture Digital - T&M,HWRX,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.97,1.60,1.28,0.32,0.27
136,2022-23,Q1,4/1/2022,SS400257,Software Services -Edelweiss Financial,QSLJ,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,0.55,0.66,-0.11,-0.16
137,2022-23,Q1,4/1/2022,SS400258,Software Services -Raheja-QBE,GXAD,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.00,1.66,1.13,0.53,0.49
138,2022-23,Q1,4/1/2022,SS400259,Software Services -Development -HDFC Ltd,GYVI,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,2.57,4.19,2.08,2.11,1.99
139,2022-23,Q1,4/1/2022,SS400260,Software Services -Development -NESL-T&M,DKFU,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,10.00,10.52,11.41,-0.90,-1.35
140,2022-23,Q1,4/1/2022,SS400262,Software Services -Development -Kotak Bank,HCAR,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,8.51,5.67,4.18,1.49,1.11
141,2022-23,Q1,4/1/2022,SS400263,Software Services -Development -Prudential -10 FA,LYAR,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,10.33,18.35,9.50,8.86,8.39
142,2022-23,Q1,4/1/2022,SS400265,Software Services -Development -DCB Bank,QJCC,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,2.17,2.65,1.24,1.41,1.31
143,2022-23,Q1,4/1/2022,SS400267,Software Services -Development -Accenture @ RBL,TENY,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.44,-0.44,-0.44
